Time,num_recovered
82.75,96761
83,96768
83.25,96776
83.5,96778
83.75,96781
84,96783
84.25,96787
84.5,96791
84.75,96792
85,96795
85.25,96801
85.5,96808
85.75,96812
86,96815
86.25,96816
86.5,96820
86.75,96821
87,96823
87.25,96827
87.5,96827
87.75,96829
88,96833
88.25,96834
88.5,96836
88.75,96837
89,96838
89.25,96838
89.5,96841
89.75,96844
90,96847
90.25,96853
90.5,96854
90.75,96857
91,96861
91.25,96863
91.5,96864
91.75,96867
92,96867
92.25,96869
92.5,96870
92.75,96871
93,96871
93.25,96872
93.5,96876
93.75,96876
94,96879
94.25,96882
94.5,96882
94.75,96882
95,96882
95.25,96883
95.5,96884
95.75,96885
96,96887
96.25,96887
96.5,96887
96.75,96888
97,96889
97.25,96889
97.5,96890
97.75,96890
98,96891
98.25,96891
98.5,96891
98.75,96891
99,96891
99.25,96892
99.5,96892
99.75,96893
100,96893
100.25,96893
100.5,96894
100.75,96895
101,96895
101.25,96895
101.5,96895
101.75,96895
102,96897
102.25,96899
102.5,96900
102.75,96901
103,96901
103.25,96901
103.5,96901
103.75,96901
104,96901
104.25,96901
104.5,96901
104.75,96901
105,96901
105.25,96901
105.5,96901
105.75,96901
106,96901
106.25,96901
106.5,96902
106.75,96902
107,96902
107.25,96902
107.5,96903
107.75,96903
108,96903
108.25,96903
108.5,96904
108.75,96904
109,96904
109.25,96904
109.5,96904
109.75,96905
110,96905
110.25,96905
110.5,96905
110.75,96905
111,96906
111.25,96906
111.5,96906
111.75,96906
112,96906
112.25,96906
112.5,96906
112.75,96906
113,96906
113.25,96906
113.5,96906
113.75,96906
114,96906
114.25,96906
114.5,96906
114.75,96906
115,96906
115.25,96906
115.5,96906
115.75,96906
116,96906
116.25,96906
116.5,96906
116.75,96906
117,96906
117.25,96906
117.5,96906
117.75,96906
118,96907
118.25,96907
118.5,96907
118.75,96907
119,96907
119.25,96907
119.5,96907
119.75,96907
