Time,susceptible_lambda_C
65,16.1777
65.25,15.6436
65.5,14.878
65.75,13.9866
66,13.142
66.25,12.8589
66.5,12.1446
66.75,11.7685
67,11.4567
67.25,11.0412
67.5,10.8666
67.75,10.8309
68,10.1814
68.25,9.94676
68.5,9.4557
68.75,9.29932
69,8.92697
69.25,8.58593
69.5,8.08964
69.75,7.69227
70,7.28616
70.25,6.97094
70.5,6.55319
70.75,6.25301
71,6.18086
71.25,5.91754
71.5,5.61735
71.75,5.24787
72,5.08686
72.25,4.89221
72.5,4.72734
72.75,4.55153
73,4.38517
73.25,4.23124
73.5,4.16121
73.75,4.01911
74,3.68816
74.25,3.55534
74.5,3.51955
74.75,3.47419
75,3.46442
75.25,3.25294
75.5,2.99881
75.75,2.9282
76,2.79797
76.25,2.56202
76.5,2.51236
76.75,2.39546
77,2.31833
77.25,2.17985
77.5,1.87596
77.75,1.76595
78,1.71302
78.25,1.75587
78.5,1.71011
78.75,1.82682
79,1.65562
79.25,1.67701
79.5,1.66283
79.75,1.6748
80,1.60162
80.25,1.60598
80.5,1.55759
80.75,1.49597
81,1.39653
81.25,1.36993
81.5,1.32793
81.75,1.34817
82,1.20749
82.25,1.10168
82.5,1.12709
82.75,1.09124
83,1.02658
83.25,0.984218
83.5,0.994272
83.75,0.980292
84,0.980005
84.25,0.963049
84.5,0.962089
84.75,0.939252
85,0.921114
85.25,0.930691
85.5,0.866273
85.75,0.848102
86,0.743124
86.25,0.741405
86.5,0.744891
86.75,0.682771
87,0.68311
87.25,0.667875
87.5,0.668007
87.75,0.667875
88,0.667026
88.25,0.674558
88.5,0.687755
88.75,0.70209
89,0.705753
89.25,0.705753
89.5,0.666063
89.75,0.618849
90,0.51553
90.25,0.501827
90.5,0.50381
90.75,0.492035
91,0.490048
91.25,0.490003
91.5,0.489751
91.75,0.471716
92,0.486414
92.25,0.399902
92.5,0.399892
92.75,0.400373
93,0.40277
93.25,0.366403
93.5,0.325366
93.75,0.325348
94,0.29555
94.25,0.144539
94.5,0.144539
94.75,0.144539
95,0.144673
95.25,0.146867
95.5,0.124866
95.75,0.0641799
96,0.0646303
96.25,0.0646303
96.5,0.0646303
96.75,0.0665128
97,0.0616488
97.25,0.0616488
97.5,0.0835555
97.75,0.0835555
98,0.0831514
98.25,0.0831122
98.5,0.0826052
98.75,0.0826052
99,0.0826052
99.25,0.0826052
99.5,0.0826052
99.75,0.0826052
100,0.0826052
100.25,0.0826052
100.5,0.067289
100.75,0.067289
101,0.0672797
101.25,0.0672797
101.5,0.0672797
101.75,0.0672797
102,0.0649528
102.25,0.0430562
102.5,0.0423809
102.75,0.0423596
103,0.0423596
103.25,0.0423596
103.5,0.0423596
103.75,0.0423596
104,0.0423596
104.25,0.0423596
104.5,0.0423596
104.75,0.0423546
105,0.0423546
105.25,0.0423546
105.5,0.0423546
105.75,0.0423546
106,0.0423546
106.25,0.0423546
106.5,0.0423546
106.75,0.0423546
107,0.0423546
107.25,0.0423546
107.5,0.0410495
107.75,0.0410495
108,0.0410495
108.25,0.0410495
108.5,0.0409271
108.75,0.0409271
109,0.0409271
109.25,0.0409271
109.5,0.054611
109.75,0.0546108
110,0.0546108
110.25,0.0614527
110.5,0.0614527
110.75,0.0614527
111,0.0409226
111.25,0.0409226
111.5,0.0409226
111.75,0.0409226
112,0.0409226
112.25,0.0409226
112.5,0.0409226
112.75,0.0409226
113,0.0409226
113.25,0.0409226
113.5,0.0409226
113.75,0.0409226
114,0.0409226
114.25,0.0409226
114.5,0.0409226
114.75,0.0409226
115,0.0409226
115.25,0.0409226
115.5,0.0409226
115.75,0.0409226
116,0.0409226
116.25,0.0409226
116.5,0.0414113
116.75,0.0414113
117,0.0414113
117.25,0.0414113
117.5,0.0414113
117.75,0.0413911
118,0.0409027
118.25,0.0409027
118.5,0.0409027
118.75,0.0409027
119,0.0409027
119.25,0.0409027
119.5,0.0409027
119.75,0.0409027
