Time,num_cumulative_hospitalizations
85.75,3268
86,3268
86.25,3268
86.5,3268
86.75,3268
87,3268
87.25,3268
87.5,3269
87.75,3269
88,3270
88.25,3270
88.5,3270
88.75,3270
89,3270
89.25,3270
89.5,3270
89.75,3270
90,3270
90.25,3270
90.5,3270
90.75,3270
91,3270
91.25,3270
91.5,3271
91.75,3271
92,3271
92.25,3271
92.5,3271
92.75,3271
93,3271
93.25,3271
93.5,3271
93.75,3271
94,3272
94.25,3272
94.5,3272
94.75,3272
95,3272
95.25,3272
95.5,3272
95.75,3272
96,3272
96.25,3272
96.5,3272
96.75,3272
97,3272
97.25,3272
97.5,3272
97.75,3272
98,3272
98.25,3272
98.5,3272
98.75,3272
99,3272
99.25,3272
99.5,3272
99.75,3272
100,3272
100.25,3272
100.5,3272
100.75,3272
101,3272
101.25,3272
101.5,3272
101.75,3273
102,3273
102.25,3273
102.5,3273
102.75,3273
103,3273
103.25,3273
103.5,3273
103.75,3273
104,3273
104.25,3273
104.5,3273
104.75,3273
105,3273
105.25,3273
105.5,3273
105.75,3273
106,3274
106.25,3274
106.5,3274
106.75,3274
107,3274
107.25,3274
107.5,3274
107.75,3274
108,3274
108.25,3274
108.5,3274
108.75,3274
109,3274
109.25,3274
109.5,3274
109.75,3274
110,3274
110.25,3274
110.5,3274
110.75,3274
111,3274
111.25,3274
111.5,3274
111.75,3274
112,3274
112.25,3274
112.5,3274
112.75,3274
113,3274
113.25,3274
113.5,3274
113.75,3274
114,3274
114.25,3274
114.5,3274
114.75,3274
115,3274
115.25,3274
115.5,3274
115.75,3274
116,3274
116.25,3274
116.5,3274
116.75,3274
117,3274
117.25,3274
117.5,3274
117.75,3274
118,3274
118.25,3274
118.5,3274
118.75,3274
119,3274
119.25,3274
119.5,3274
119.75,3274
