,wardName,wardNo,area(sq km),totalPopulation
248,Pallikkara,249,39.09,43255
249,Panathady,250,79.79,22976
250,Pilicode,251,26.77,25122
251,Pullurperiya,252,63.25,29642
252,Puthige,253,39.61,21823
253,Thrikkaripur,254,23.31,38687
254,Udma,255,23.54,37537
255,Vorkady,256,45.4,25756
256,West Eleri,257,77.45,29316
257,Adichanalloor,258,19.85,33638
258,Alappad,259,7.38,21655
259,Alayamon,260,35.91,20108
260,Anchal,261,24.4,33088
261,Ariencavu,262,198.84,11133
262,Chadayamangalam,263,26.21,22473
263,Chavara,264,11.89,42655
264,Chirakkara,265,17.44,22669
265,Chithara,266,57.7,45383
266,Clappana,267,10.86,22250
267,Edamulakkal,268,38.73,39244
268,Elamadu,269,30.2,27248
269,Elampalloor,270,14.0,38536
270,Ezhukone,271,15.83,24251
271,Ittiva,272,43.89,36172
272,Kadakkal,273,29.9,30719
273,Kalluvathukkal,274,38.0,52541
274,Karavaloor,275,23.84,23947
275,Kareepra,276,23.2,29771
276,Kottamkara,277,10.63,39635
277,Kulakkada,278,29.18,32415
278,Kulasekharapuram,279,16.5,49157
279,Kummil,280,20.5,20383
280,Kunnathoor,281,21.44,25009
281,Mayyanad,282,17.57,51891
282,Melila,283,18.58,21936
283,Muntrothuruthu,284,13.4,9440
284,Mylam,285,27.49,34090
285,Mynagappally,286,24.42,41027
286,Nedumpana,287,28.06,51384
287,Neduvathoor,288,22.7,29627
288,Nilamel,289,22.04,15395
289,Oachira,290,12.86,28412
290,Panayam,291,11.06,26825
291,Panmana,292,16.85,50001
292,Pathanapuram,293,28.8,31660
293,Pattazhi,294,18.65,17718
294,Pattazhi Vadakkekara,295,18.07,15160
295,Pavithreswaram,296,23.62,31810
296,Perinad,297,13.86,33955
297,Piravanthoor,298,129.86,33914
298,Poothakkulam,299,16.56,29453
299,Pooyappally,300,22.28,24447
300,Poruvazhy,301,19.36,28722
301,Sasthamcotta,302,24.42,33285
302,Sooranad North,303,22.69,28471
303,Sooranad South,304,17.17,24766
304,Thalavoor,305,33.67,34228
305,Thazhava,306,23.58,40571
306,Thekkumbhagom,307,20.26,16937
307,Thenmala,308,164.34,23555
308,Thevalakkara,309,15.71,42977
309,Thodiyoor,310,21.6,47607
310,Thrikkaruva,311,18.39,25432
311,Thrikkovilvattom,312,18.66,61287
312,Ummannoor,313,34.0,33790
313,Velinalloor,314,27.4,28864
314,Veliyam,315,30.28,32030
315,Vettikkavala,316,36.23,36204
316,Vilakkudy,317,21.44,32995
317,West Kallada,318,13.36,18176
318,Aimanam,319,30.03,34906
319,Akalakunnam,320,34.84,19718
320,Arpookara,321,24.53,23809
321,Athirampuzha,322,20.1,40196
322,Ayarkkunnam,323,30.7,34555
323,Bharananganam,324,27.38,15848
324,Chempu,325,18.42,21049
325,Chirakkadavu,326,40.81,36164
326,Elikulam,327,40.26,24499
327,Erumeli,328,92.67,43273
328,Kadanad,329,40.19,18734
329,Kaduthuruthy,330,36.31,31844
330,Kallara,331,27.09,13562
331,Kanakkari,332,23.22,22744
332,Kangazha,333,31.19,20115
333,Kanjirappally,334,52.47,43057
334,Karukachal,335,22.4,23631
335,Kidangoor,336,22.74,21261
336,Kooroppada,337,26.85,27977
337,Koottickal,338,43.13,14277
338,Kumarakom,339,52.25,22358
339,Kuravilangad,340,22.93,18033
340,Madappally,341,24.02,35245
341,Manarcad,342,15.53,27579
342,Manimala,343,24.0,21053
343,Manjoor,344,28.98,27888
344,Meenachil,345,15.49,16863
345,Meenadom,346,13628.0,13393
346,Melukavu,347,30.49,11476
347,Moonilavu,348,33.41,8731
348,Mulakulam,349,26.15,25798
349,Mundakayam,350,54.0,38445
350,Nedumkunnam,351,24.24,21700
351,Njeezhoor,352,28.91,17640
352,Paippad,353,22.88,23928
353,Pampady,354,22.74,33004
354,Panachikkad,355,41.0,42701
355,Poonjar,356,18.22,12649
356,Poonjar Thekkekara,357,60.86,17588
