,wardNo,wardName,Households
324,325,Chempu,5065.0
325,326,Chirakkadavu,9031.0
326,327,Elikulam,5878.0
327,328,Erumeli,10806.0
328,329,Kadanad,4446.0
329,330,Kaduthuruthy,7701.0
330,331,Kallara,3412.0
331,332,Kanakkari,5652.0
332,333,Kangazha,5063.0
333,334,Kanjirappally,10212.0
334,335,Karukachal,6062.0
335,336,Kidangoor,5259.0
336,337,Kooroppada,7075.0
337,338,Koottickal,3556.0
338,339,Kumarakom,5366.0
339,340,Kuravilangad,4381.0
340,341,Madappally,8779.0
341,342,Manarcad,6952.0
342,343,Manimala,5124.0
343,344,Manjoor,7029.0
344,345,Meenachil,4046.0
345,346,Meenadom,3391.0
346,347,Melukavu,2827.0
347,348,Moonilavu,2126.0
348,349,Mulakulam,6486.0
349,350,Mundakayam,9593.0
350,351,Nedumkunnam,5400.0
351,352,Njeezhoor,4371.0
352,353,Paippad,5887.0
353,354,Pampady,8285.0
354,355,Panachikkad,10780.0
355,356,Poonjar,3022.0
356,357,Poonjar Thekkekara,4258.0
357,358,Puthuppally,7688.0
358,359,Ramapuram,7096.0
359,360,Teekoy,4708.0
360,361,Thalappalam,1706.0
361,362,Thalayazham,3125.0
362,363,Thiruvarpu,4910.0
363,364,Thrikkodithanam,7059.0
364,365,Uzhavoor,3814.0
365,366,Vakathanam,8442.0
366,367,Vazhappally,8823.0
367,368,Vazhoor,6381.0
368,369,Vechoor,4168.0
369,370,Veliyannoor,2922.0
370,371,Vellavoor,4329.0
371,372,Velloor,5605.0
372,373,Balusseri,6810.0
373,374,Koorachundu,4155.0
374,375,Kottur,7611.0
375,376,Naduvannur,6207.0
376,377,Panangad,8483.0
377,378,Ulliyeri,7901.0
378,379,Unnikulum,11713.0
379,380,Chelannur,9716.0
380,381,Kakkodi,10163.0
381,382,Kakkur,5551.0
382,383,Nanmanda,6761.0
383,384,Narikunni,5785.0
384,385,Thalakulathur,6897.0
385,386,Kizhakkoth,6940.0
386,387,Kodencheri,8578.0
387,388,Koodaranji,4423.0
388,389,Madavoor,6783.0
389,390,Puthuppady,9806.0
390,391,Thiruvambadi,6771.0
391,392,Olavanna,15074.0
392,393,Chathamangalam,10526.0
393,394,Kodiyathur,6024.0
394,395,Kunnamangalam,11841.0
395,396,Kuruvattur,8151.0
396,397,Mavoor,6783.0
397,398,Perumanna,7979.0
398,399,Peruvayal,10852.0
399,400,Kavilumpara,5528.0
400,401,Kayakkodi,5664.0
401,402,Kunnummal,4303.0
402,403,Kuttiadi,4511.0
403,404,Maruthomkara,4772.0
404,405,Naripetta,6206.0
405,406,Meppayur,6584.0
406,407,Thikkodi,6201.0
407,408,Thurayur,3257.0
408,409,Arikulam,4409.0
409,410,Atholi,6833.0
410,411,Chemanachery,8090.0
411,412,Chengottukavu,6409.0
412,413,Moodadi,6906.0
413,414,Chakittapara,5210.0
414,415,Changaroth,7548.0
415,416,Cheruvannur,5556.0
416,417,Koothali,4127.0
417,418,Nochad,6456.0
418,419,Perambra,7909.0
419,420,Ayancheri,5864.0
420,421,Maniyur,9297.0
421,422,Thiruvallur,7950.0
422,423,Villiyappally,7829.0
423,424,Chekkiad,5051.0
424,425,Edacheri,5985.0
425,426,Purameri,6185.0
426,427,Thuneri,5212.0
427,428,Valayam,4136.0
428,429,Vanimel,5554.0
429,430,Azhiyur,6082.0
430,431,Chorode,8089.0
431,432,Eramala,7722.0
432,433,Onchiyam,6289.0
433,434,Abdul Rahiman Nagar,7338.0
434,435,Alamcode,7050.0
435,436,Aliparamba,7947.0
436,437,Amarambalam,7841.0
437,438,Angadipuram,11712.0
438,439,Areekkode,6037.0
439,440,Athavanad,7573.0
440,441,Chekkode,6297.0
441,442,Chelambra,7078.0
442,443,Cheriyamundam,5613.0
443,444,Cherukavu,7478.0
444,445,Chungathara,8054.0
445,446,Edakkara,6198.0
446,447,Edappal,6684.0
447,448,Edappatta,4532.0
448,449,Edavanna,9048.0
449,450,Edayoor,6811.0
450,451,Elamkulam,5330.0
451,452,Irimbiliyam,5904.0
452,453,Kalady,5320.0
453,454,Kalikavu,7042.0
454,455,Kalpakancheri,6198.0
455,456,Kannamangalam,7194.0
456,457,Karulai,4972.0
457,458,Karuvarakundu,8168.0
458,459,Kavannur,7259.0
459,460,Keezhattur,7112.0
460,461,Keezhuparamba,4500.0
461,462,Kodur,7119.0
462,463,Koottilangadi,7005.0
463,464,Kuruva,8513.0
464,465,Kuttippuram,8961.0
465,466,Kuzhimanna,6492.0
466,467,Mampad,7533.0
467,468,Mangalam,5664.0
468,469,Mankada,6530.0
469,470,Marakkara,7715.0
470,471,Maranchery,7104.0
471,472,Melattur,5548.0
472,473,Moonniyur,10176.0
473,474,Moorkkanad,6944.0
474,475,Morayur,6501.0
475,476,Muthuvallur,4926.0
476,477,Nannambra,6984.0
477,478,Nannamukku,6221.0
478,479,Niramaruthoor,5259.0
479,480,Othukkungal,7084.0
480,481,Ozhur,6277.0
481,482,Pallickal,8970.0
482,483,Pandikkad,10790.0
483,484,Parappur,6554.0
484,485,Perumana klari,4939.0
485,486,Perumpadappu,5876.0
486,487,Peruvallur,6411.0
487,488,Ponmala,6237.0
488,489,Ponmundam,4625.0
489,490,Pookkottur,7032.0
490,491,Porur,5907.0
491,492,Pulamanthole,7387.0
492,493,Pulikkal,7611.0
493,494,Pulpatta,7973.0
494,495,Purathur,5787.0
495,496,Tanalur,6883.0
496,497,Tavanur,8844.0
497,498,Thalakkad,6924.0
498,499,Thenhippalam,6782.0
499,500,Thennala,5130.0
500,501,Thirunavaya,8484.0
501,502,Thiruvali,6086.0
502,503,Thuvvur,10415.0
503,504,Trikkalangode,7821.0
504,505,Triprangode,8300.0
505,506,Urangattiri,7684.0
506,507,Valavannur,6151.0
507,508,Vallikkunnu,9859.0
508,509,Vazhikkadavu,9972.0
509,510,Veliyancode,6211.0
510,511,Vettathur,5348.0
511,512,Vettom,6577.0
512,513,Wandoor,10239.0
513,514,Agali,8695.0
514,515,Akathethara,7127.0
515,516,Alanallur,10568.0
516,517,Alathur,6096.0
517,518,Ambalapara,8687.0
518,519,Anakkara,5214.0
519,520,Ananganadi,5086.0
520,521,Ayiloor,6648.0
521,522,Chalavara,5116.0
522,523,Chalisseri,5352.0
523,524,Elappully,9247.0
524,525,Elavancherry,4120.0
525,526,Erimayur,7079.0
526,527,Eruthempathy,4911.0
527,528,Kadampazhipuram,7282.0
528,529,Kannadi,5669.0
529,530,Kannambra,5990.0
530,531,Kappur,6519.0
531,532,Karakurissi,5768.0
532,533,Karimba,6182.0
533,534,Karimpuzha,6938.0
534,535,Kavassery,6739.0
535,536,Keralassery,3683.0
536,537,Kizhakkancherry,9730.0
537,538,Kodumba,5683.0
538,539,Koduvayur,6845.0
539,540,Kollengode,6921.0
540,541,Kongad,6854.0
541,542,Koppam,6103.0
542,543,Kottappadam,5161.0
543,544,Kottayi,8417.0
544,545,Kozhinjampara,7064.0
545,546,Kulukkallur,5568.0
546,547,Kumaramputhur,6745.0
547,548,Kuthanoor,5537.0
548,549,Kuzhalmannam,6351.0
549,550,Lakkidi-perur,7482.0
550,551,Malampuzha,3444.0
551,552,Mankara,4310.0
552,553,Mannur,4603.0
553,554,Mathur,5765.0
554,555,Melarcode,6139.0
555,556,Mundur,7099.0
556,557,Muthalamada,8698.0
557,558,Muthuthala,5242.0
558,559,Nagalassery,6262.0
559,560,Nalleppilly,7931.0
560,561,Nellaya,7282.0
561,562,Nelliampathy,1534.0
562,563,Nemmara,8810.0
563,564,Ongallur,8517.0
564,565,Pallassana,5487.0
565,566,Parali,8150.0
566,567,Paruthur,5410.0
567,568,Pattencherry,5972.0
568,569,Pattithara,6962.0
569,570,Peringottukurissi,5859.0
570,571,Perumatty,7496.0
571,572,Peruvemba,4522.0
572,573,Pirayiri,8944.0
573,574,Polpully,3894.0
574,575,Puducode,4697.0
575,576,Puduppariyaram,3495.0
576,577,Pudur,12667.0
577,578,Pudusseri,3844.0
578,579,Puthunagaram,9222.0
579,580,Sholayar,4675.0
580,581,Sreekrishnapuram,5329.0
581,582,Tachampara,6033.0
582,583,Tarur,4095.0
583,584,Thachanattukara,5140.0
584,585,Thenkara,6250.0
585,586,Thenkurissi,6323.0
586,587,Thirumittacode,6945.0
587,588,Thiruvegapura,6518.0
588,589,Thrikkadeeri,5537.0
589,590,Thrithala,5879.0
590,591,Vadakarapathy,6844.0
591,592,Vadakkancheri,8401.0
592,593,Vadavannur,3927.0
593,594,Vallapuzha,5282.0
594,595,Vandazhy,7407.0
595,596,Vaniamkulam,7709.0
596,597,Vellinezhi,4178.0
597,598,Vilayur,4792.0
598,599,Anicadu,3726.0
599,600,Aranmula,7897.0
600,601,Aruvapulam,5410.0
601,602,Ayiroor,5905.0
602,603,Chenneerkara,5271.0
603,604,Cherukole,3382.0
604,605,Chittar,4512.0
605,606,Elanthoor,4176.0
606,607,Enadimangalam,5635.0
607,608,Erathu,6730.0
608,609,Eraviperoor,6773.0
609,610,Ezhamkulam,8684.0
